name,price,url,city,params,year,mileage,engine_volume,horse_power,date
"Changan CS35 Plus, 2024",2629900,https://auto.drom.ru/moscow/changan/cs35_plus/890179681.html,Москва,"1.4 л (150 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (150 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Changan Eado Plus, 2024",2509900,https://auto.drom.ru/moscow/changan/eado_plus/890343123.html,Москва,"1.4 л (155 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (155 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Лада 2107, 1998",115000,https://auto.drom.ru/moscow/lada/2107/890363887.html,Москва,"1.5 л (71 л.с.) | , | бензин | , | механика | , | задний | , | 82 470 км | 1.5 л (71 л.с.), | бензин, | механика, | задний, | 82 470 км",,82470.0,1.5,5.0,4 часа назад
"EXEED Exlantix ET, 2025",6730000,https://auto.drom.ru/moscow/cheryexeed/exlantix_et/889960381.html,Москва,"1.5 л (156 л.с.) | , | гибрид | , | АКПП | , | 4WD | 1.5 л (156 л.с.), | гибрид, | АКПП, | 4WD",,,1.5,5.0,4 часа назад
"Citroen C2, 2006",320000,https://auto.drom.ru/moscow/citroen/c2/888894735.html,Москва,"1.6 л (109 л.с.) | , | бензин | , | робот | , | передний | , | 258 000 км | 1.6 л (109 л.с.), | бензин, | робот, | передний, | 258 000 км",,258000.0,1.6,6.0,4 часа назад
"Changan UNI-K, 2024",4549900,https://auto.drom.ru/moscow/changan/uni-k/889232069.html,Москва,"2.0 л (226 л.с.) | , | бензин | , | АКПП | , | 4WD | 2.0 л (226 л.с.), | бензин, | АКПП, | 4WD",,,2.0,0.0,4 часа назад
"Audi A3, 2025",4900000,https://auto.drom.ru/moscow/audi/a3/888560520.html,Москва,"1.5 л (160 л.с.) | , | бензин | , | автомат | , | передний | 1.5 л (160 л.с.), | бензин, | автомат, | передний",,,1.5,5.0,4 часа назад
"Changan UNI-K, 2024",4549900,https://auto.drom.ru/moscow/changan/uni-k/888767409.html,Москва,"2.0 л (226 л.с.) | , | бензин | , | АКПП | , | 4WD | 2.0 л (226 л.с.), | бензин, | АКПП, | 4WD",,,2.0,0.0,4 часа назад
"Changan UNI-K, 2024",4549900,https://auto.drom.ru/moscow/changan/uni-k/886643957.html,Москва,"2.0 л (226 л.с.) | , | бензин | , | АКПП | , | 4WD | 2.0 л (226 л.с.), | бензин, | АКПП, | 4WD",,,2.0,0.0,4 часа назад
"Opel Corsa, 2007",359000,https://auto.drom.ru/moscow/opel/corsa/886162697.html,Москва,"1.2 л (80 л.с.) | , | бензин | , | робот | , | передний | , | 160 173 км | 1.2 л (80 л.с.), | бензин, | робот, | передний, | 160 173 км",,160173.0,1.2,2.0,4 часа назад
"Toyota Corolla, 2012",950000,https://auto.drom.ru/moscow/toyota/corolla/886208667.html,Москва,"1.6 л (124 л.с.) | , | бензин | , | АКПП | , | передний | , | 270 000 км | 1.6 л (124 л.с.), | бензин, | АКПП, | передний, | 270 000 км",,270000.0,1.6,6.0,4 часа назад
"Infiniti FX37, 2012",2250000,https://auto.drom.ru/moscow/infiniti/fx37/885237897.html,Москва,"3.7 л (333 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 123 000 км | 3.7 л (333 л.с.), | бензин, | АКПП, | 4WD, | 123 000 км",,123000.0,3.7,7.0,4 часа назад
"Changan Lamore, 2024",2869900,https://auto.drom.ru/moscow/changan/lamore/885561485.html,Москва,"1.5 л (181 л.с.) | , | бензин | , | робот | , | передний | 1.5 л (181 л.с.), | бензин, | робот, | передний",,,1.5,5.0,4 часа назад
"Changan Lamore, 2024",2869900,https://auto.drom.ru/moscow/changan/lamore/884722022.html,Москва,"1.5 л (181 л.с.) | , | бензин | , | робот | , | передний | 1.5 л (181 л.с.), | бензин, | робот, | передний",,,1.5,5.0,4 часа назад
"Zeekr X, 2023",3288000,https://auto.drom.ru/moscow/zeekr/x/884931536.html,Москва,"422 л.с. | , | электро | , | АКПП | , | 4WD | , | 26 500 км | 422 л.с., | электро, | АКПП, | 4WD, | 26 500 км",,26500.0,422.0,422.0,4 часа назад
